,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
283,Allen Crabbe,73,#0,,G-F,4/9/1992,1.96,89.4,17818456,USA,2013,2,31,California,29,8,23.3,Normal,0
284,Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,9/8/1990,1.91,86.2,9607500,Australia,2013,0,0,Saint Mary's,30,7,23.6,Normal,0
285,James Ennis,73,#0,Orlando Magic,F,7/1/1990,1.98,91.2,1882867,USA,2013,2,50,Long Beach State,30,7,23.3,Normal,0
286,Dorian Finney-Smith,73,#10,Dallas Mavericks,F,5/4/1993,2.01,96.6,4000000,USA,2016,0,0,Florida,27,4,23.9,Normal,0
287,Shaquille Harrison,73,#3,Chicago Bulls,G,10/6/1993,2.01,86.2,1620564,USA,2016,0,0,Tulsa,27,4,21.3,Normal,0
288,Aaron Holiday,73,#3,Indiana Pacers,G,9/30/1996,1.83,83.9,2239200,USA,2018,1,23,UCLA,24,2,25.1,Overweight,0
289,Danuel House,73,#4,Houston Rockets,F,6/7/1993,1.98,99.8,3540000,USA,2016,0,0,Texas A&M,27,4,25.5,Overweight,0
290,Stanley Johnson,73,#5,Toronto Raptors,F,5/29/1996,1.98,109.8,3623000,USA,2015,1,8,Arizona,24,5,28,Overweight,0
291,Tyus Jones,73,#21,Memphis Grizzlies,G,5/10/1996,1.83,83.9,10116000,USA,2015,1,24,Duke,24,5,25.1,Overweight,0
292,Furkan Korkmaz,73,#30,Philadelphia 76ers,F,6/27/1997,2.01,83.9,1620564,Turkey,2016,1,26,,23,4,20.8,Normal,1
293,Ian Mahinmi,73,#28,Washington Wizards,C,11/5/1986,2.11,104.3,15450051,France,2005,1,28,,34,15,23.4,Normal,1
294,CJ Miles,73,#0,,G-F,3/18/1987,1.98,105.2,8730158,USA,2005,2,34,,34,16,26.8,Overweight,1
295,Mike Muscala,73,#33,Oklahoma City Thunder,F-C,7/1/1991,2.08,104.3,2028594,USA,2013,2,44,Bucknell,29,7,24.1,Normal,0
296,Frank Ntilikina,73,#11,New York Knicks,G,7/28/1998,1.93,86.2,4855800,France,2017,1,8,,22,3,23.1,Normal,1
297,David Nwaba,73,#0,Houston Rockets,G,1/14/1993,1.96,95.3,2581965,USA,2016,0,0,Cal Poly,28,5,24.8,Normal,0
298,Royce O'Neale,73,#23,Utah Jazz,F,6/5/1993,1.93,102.5,1618520,USA,2015,0,0,Baylor,27,5,27.5,Overweight,0
299,Semi Ojeleye,73,#37,Boston Celtics,F,12/5/1994,1.98,106.6,1618520,USA,2017,2,37,SMU,26,3,27.2,Overweight,0
300,Josh Okogie,73,#20,Minnesota Timberwolves,G,9/1/1998,1.93,96.6,2530680,Nigeria,2018,1,20,Georgia Tech,22,2,25.9,Overweight,0
301,Jonathon Simmons,73,#0,,G-F,9/14/1989,1.98,88.5,1000000,USA,2012,0,0,Houston,31,8,22.6,Normal,0
302,Ishmael Smith,73,#14,Washington Wizards,G,7/5/1988,1.83,79.4,6000000,USA,2010,0,0,Wake Forest,32,10,23.7,Normal,0
